10:03:40.698 @EMP002 系统管理员
10:03:40.700 @EMP033 9af7f2b45fff5ca168dd7081681fadd
10:03:53.321 @HAW001 W20190114003
10:03:53.321 @HAW018 False
10:03:55.891 @HAW001 W20190114003
10:03:55.891 @HAW018 True
10:03:55.892 @RCA001 84
10:03:55.892 @RCA002 W20190114003
10:03:55.892 @RCA004 20190128
10:03:55.892 @RCA005 DS
10:03:55.893 @RCA006 0501
10:03:55.893 @RCA016 F
10:03:55.893 @RCA019 F
10:03:55.911 @RCC001 84
10:03:55.911 @RCC002 W20190114003
10:03:55.911 @RCC003 81
10:03:55.911 @RCC004 GD201901030001
10:03:55.911 @RCC005 011
10:03:55.911 @RCC006 75
10:03:55.912 @RCC007 0
10:03:55.912 @RCC008 ********************
10:03:55.912 @RCC010 202140001
10:03:55.912 @RCC011 000
10:03:55.912 @RCC022 001
10:03:55.912 @RCC028 
10:05:10.913 @HAW001 W20190114004
10:05:10.914 @HAW018 False
10:05:12.386 @HAW001 W20190114004
10:05:12.386 @HAW018 True
10:05:12.387 @RBA001 82
10:05:12.388 @RBA002 LL201901280001
10:05:12.388 @RBA003 
10:05:12.388 @RBA004 20190128
10:05:12.388 @RBA005 DS
10:05:12.388 @RBA006 GD201901040035
10:05:12.388 @RBA012 F
10:05:12.389 @RBA022 F
10:05:12.402 @RBB001 82
10:05:12.402 @RBB002 LL201901280001
10:05:12.402 @RBB003 001
10:05:12.402 @RBB004 101050019
10:05:12.403 @RBB005 冷轧板
10:05:12.403 @RBB006 片
10:05:12.403 @RBB007 007
10:05:12.403 @RBB008 XC15
10:05:12.403 @RBB009 75
10:05:12.403 @RBB010 GD201901040035
10:05:12.404 @RBB011 001
10:05:12.404 @RBB013 F
10:05:12.404 @RBB021 ********************
10:05:12.404 @RBB022 630*635*0.45mm
10:05:12.404 @RBB023 81
10:05:12.405 @RBB012 倒扣料:W20190114004
10:05:54.490 @ANW001 Z20190116002
10:05:54.491 @ANW020 False
10:05:56.040 @ANW001 Z20190116002
10:05:56.040 @ANW020 True
10:05:56.067 @RCA001 84
10:05:56.067 @RCA002 Z20190116002
